country,id,value,extraInfo,text_content,link_text,link_url_target,audio_url_1,audio_url_2,audio_url_3,image_url_source,image_url_target,video_url
Albania,AL,null,Falsch,,,,,,,,,
Austria,AT,0.4098,Falsch,"Index Score: 35,9",,,,,,,,
Belgium,BE,0.4267,Falsch,"Index Score: 16,7",,,,,,,,
Bulgaria,BG,0.2542,Falsch,"Index Score: 35,9",,,,,,,,
Bosnia and Herzegovina,BA,null,Falsch,,,,,,,,,
Switzerland,CH,null,Falsch,,,,,,,,,
Cyprus,CY,0.1429,Falsch,"Index Score: 35,9",,,,,,,,
Czechia,CZ,0.2600,Falsch,"Index Score: 35,9",,,,,,,,
Germany,DE,0.3533,Falsch,"Index Score: 35,9",,,,,,,,
Denmark,DK,0.4525,Falsch,"Index Score: 35,9",,,,,,,,
Estonia,EE,0.2970,Falsch,"Index Score: 35,9",,,,,,,,
Georgia,GE,null,Falsch,,,,,,,,,
Greece,EL,0.2300,Falsch,"Index Score: 35,9",,,,,,,,
Spain,ES,0.4429,Falsch,"Index Score: 35,9",,,,,,,,
Finland,FI,0.4600,Falsch,"Index Score: 35,9",,,,,,,,
France,FR,0.3726,Falsch,"Index Score: 35,9",,,,,,,,
Croatia,HR,0.3377,Falsch,"Index Score: 35,9",,,,,,,,
Hungary,HU,0.1457,Falsch,"Index Score: 35,9",,,,,,,,
Ireland,IE,0.2313,Falsch,"Index Score: 35,9",,,,,,,,
Iceland,IS,null,Falsch,,,,,,,,,
Italy,IT,0.3225,Falsch,"Index Score: 35,9",,,,,,,,
Liechtenstein,LI,null,Falsch,,,,,,,,,
Lithuania,LT,0.2929,Falsch,"Index Score: 35,9",,,,,,,,
Luxembourg,LU,0.3333,Falsch,"Index Score: 35,9",,,,,,,,
Latvia,LV,0.3200,Falsch,"Index Score: 35,9",,,,,,,,
Montenegro,ME,null,Falsch,,,,,,,,,
North Macedonia,MK,null,Falsch,,,,,,,,,
Malta,MT,0.2785,Falsch,"Index Score: 35,9",,,,,,,,
Moldova,MD,null,Falsch,,,,,,,,,
Netherlands,NL,0.3867,Falsch,"Index Score: 35,9",,,,,,,,
Norway,NO,null,Falsch,,,,,,,,,
Poland,PL,0.2957,Falsch,"Index Score: 35,9",,,,,,,,
Portugal,PT,0.3652,Falsch,"Index Score: 35,9",,,,,,,,
Romania,RO,0.1921,Falsch,"Index Score: 35,9",,,,,,,,
Serbia,RS,null,Falsch,,,,,,,,,
Sweden,SE,0.4670,Falsch,"Index Score: 35,9",,,,,,,,
Slovenia,SI,0.3778,Falsch,"Index Score: 35,9",,,,,,,,
Slovakia,SK,0.2267,Falsch,"Index Score: 35,9",,,,,,,,
Turkey,TR,null,Falsch,,,,,,,,,
United Kingdom,UK,null,Falsch,,,,,,,,,
Ukraine,UA,null,Falsch,,,,,,,,,
